date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:58	129/129	---M-Z	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2013:11:56%20GMT	https://jasurveying.com.au/robots.txt		(from )
15:11:59	283610/283610	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2013:11:56%20GMT	https://jasurveying.com.au/	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/index.html	(from )
15:12:00	0/0	---M--	418	error ('reauthentication%20required')	text/html	date:Fri,%2011%20Jul%202025%2013:11:58%20GMT	https://jasurveying.com.au/xmlrpc.php	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/xmlrpc.php	(from https://jasurveying.com.au/)
15:12:01	3789/3789	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Jun%202025%2009:17:56%20GMT	https://jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min.css?ver=6.58.1_1751015876	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min0509.css	(from https://jasurveying.com.au/)
15:12:01	1104/1104	---M-Z	200	added ('OK')	application/rss+xml	etag:%228cb1d913af7125f47d1a9dcd1b8430e8%22	https://jasurveying.com.au/feed/	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/feed/index.html	(from https://jasurveying.com.au/)
15:12:01	1630/1630	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Jun%202025%2009:17:56%20GMT	https://jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-email-decoder.min.css?ver=6.58.1_1751015876	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-email-decoder.min0509.css	(from https://jasurveying.com.au/)
15:12:02	9427/9427	---M--	200	added ('OK')	image/gif	date:Tue,%2026%20Nov%202024%2019:08:30%20GMT	https://jasurveying.com.au/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://jasurveying.com.au/)
15:12:03	6248/6248	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Nov%202024%2019:08:25%20GMT	http://jasurveying.com.au/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	(from https://jasurveying.com.au/)
15:12:04	34350/34350	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Nov%202024%2019:08:25%20GMT	http://jasurveying.com.au/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://jasurveying.com.au/)
15:12:04	10319/10319	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202025%2023:59:30%20GMT	https://jasurveying.com.au/wp-content/et-cache/10/et-divi-dynamic-tb-195-10.css?ver=1752191970	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/et-cache/10/et-divi-dynamic-tb-195-10ca6a.css	(from https://jasurveying.com.au/)
15:12:04	761/761	---M-Z	200	added ('OK')	application/rss+xml	etag:%228cb1d913af7125f47d1a9dcd1b8430e8%22	https://jasurveying.com.au/comments/feed/	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/comments/feed/index.html	(from https://jasurveying.com.au/)
15:12:05	71304/71304	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Jun%202025%2009:17:57%20GMT	https://jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/js/apbct-public-bundle_comm-func.min.js?ver=6.58.1_1751015877	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-content/plugins/cleantalk-spam-protect/js/apbct-public-bundle_comm-func.min9fbe.js	(from https://jasurveying.com.au/)
15:12:05	382/382	---M--	200	added ('OK')	application/javascript	etag:%226859329a-17e%22	https://moderate.cleantalk.org/ct-bot-detector-wrapper.js?ver=6.58.1	C:/My%20Web%20Sites/Website%20clone/moderate.cleantalk.org/ct-bot-detector-wrappercab1.js	(from https://jasurveying.com.au/)
15:12:06	0/0	---M--	418	error ('reauthentication%20required')	text/html	date:Fri,%2011%20Jul%202025%2013:12:04%20GMT	https://jasurveying.com.au/wp-json/wp/v2/pages/10	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-json/wp/v2/pages/10	(from https://jasurveying.com.au/)
15:12:06	0/0	---M--	418	error ('reauthentication%20required')	text/html	date:Fri,%2011%20Jul%202025%2013:12:04%20GMT	https://jasurveying.com.au/xmlrpc.php?rsd	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/xmlrpc0db0.php	(from https://jasurveying.com.au/)
15:12:08	238573/238573	---MCZ	200	added ('OK')	application/json	date:Fri,%2011%20Jul%202025%2013:12:05%20GMT	https://jasurveying.com.au/wp-json/	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-json/index.html	(from https://jasurveying.com.au/)
15:12:08	2496/2496	---M-Z	200	added ('OK')	application/json	date:Fri,%2011%20Jul%202025%2013:12:06%20GMT	https://jasurveying.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjasurveying.com.au%2F	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-json/oembed/1.0/embed156d.json	(from https://jasurveying.com.au/)
15:12:09	2711/2711	---M-Z	200	added ('OK')	text/xml	date:Fri,%2011%20Jul%202025%2013:12:07%20GMT	https://jasurveying.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjasurveying.com.au%2F&format=xml	C:/My%20Web%20Sites/Website%20clone/jasurveying.com.au/wp-json/oembed/1.0/embedc0a2	(from https://jasurveying.com.au/)
